product_id,product_name,category,brand,unit_price,unit_cost,launch_date,is_active
1,Śniadanie Elektronika Pro,Elektronika,Primo Style,966.62,553.07,2024-11-24,True
2,Miesiąc Uroda Classic,Uroda,UrbanLine,25.11,11.86,2026-05-03,True
3,Duży Dom Eco,Dom i wnętrza,GripPro,550.37,252.81,2024-12-08,True
4,Kontynent Moda Pro,Moda męska,GripPro,148.53,76.23,2025-09-11,True
5,Angielski Moda Premium,Moda damska,Klarra,194.5,118.09,2024-11-12,True
6,2 Elektronika Eco,Elektronika,Klarra,764.75,415.51,2025-05-30,True
7,Firma Elektronika Basic,Elektronika,MaxFit,1166.37,706.75,2025-09-23,False
8,Znany Elektronika Pro,Elektronika,Klarra,1500.42,1038.05,2024-10-13,True
9,Wciąż Elektronika Pro,Elektronika,Lumia,1537.48,934.76,2024-11-23,True
10,Imię Elektronika Pro,Elektronika,Ecolen,1725.37,1235.92,2025-06-15,True
11,Otaczać Akcesoria Basic,Akcesoria,Nordly,43.56,17.97,2026-06-08,True
12,Stado Sport Eco,Sport,Nortex,176.5,88.18,2025-12-07,True
13,Gęś Dom Basic,Dom i wnętrza,Primo Style,297.44,206.57,2024-12-08,True
14,Kula Dom Eco,Dom i wnętrza,Kidzo,872.42,509.1,2026-02-12,True
15,Wszystko Akcesoria Classic,Akcesoria,Klarra,234.84,109.27,2026-06-05,True
16,Straszny Uroda Premium,Uroda,Aurea,30.4,15.56,2024-12-17,True
17,Ogon Elektronika Classic,Elektronika,Lumia,159.81,92.59,2025-02-25,True
18,Przed Moda Basic,Moda damska,Ecolen,337.35,148.15,2025-04-17,True
19,Tylko Sport Eco,Sport,MaxFit,189.13,79.6,2026-03-05,True
20,Góra Moda Classic,Moda damska,Nortex,65.84,36.83,2026-08-06,False
21,Dostać Dziecko Basic,Dziecko,Domora,273.84,142.6,2026-01-02,True
22,Ubranie Elektronika Classic,Elektronika,Primo Style,1938.61,1380.57,2024-10-05,True
23,Szósty Dziecko Eco,Dziecko,GripPro,137.29,51.41,2024-10-31,True
24,Osiągnąć Dom Basic,Dom i wnętrza,Kidzo,296.8,171.25,2025-04-22,True
25,Ale Dom Pro,Dom i wnętrza,Vesto,662.68,370.06,2025-07-11,False
26,Akt Elektronika Classic,ELEKTRONIKA,Domora,342.01,229.41,2025-12-03,True
27,Kultura Sport Premium,Sport,MaxFit,462.65,279.76,2025-08-18,True
28,Studia Dziecko Premium,Dziecko,GripPro,191.5,96.45,2025-06-07,True
29,Daleki Elektronika Classic,Elektronika,Klarra,111.28,61.28,2025-09-02,True
30,Październik Moda Pro,Moda męska,Aurea,365.72,227.83,2025-02-05,True
31,Kula Moda Premium,Moda męska,Klarra,186.74,92.39,2024-10-02,True
32,Posługiwać się Dom Pro,Dom i wnętrza,Ecolen,0.0,153.61,2024-12-14,True
33,Jednak Moda Premium,moda damska,Lumia,373.69,218.65,2026-05-30,True
34,Ssak Dom Eco,Dom i wnętrza,Vantex,727.41,422.68,2024-12-05,True
35,Sobota Moda Classic,Moda damska,Nortex,360.32,232.78,2026-05-02,False
36,Naturalny Dom Classic,Dom i wnętrza,Vesto,302.94,155.19,2024-11-28,True
37,Odcinek Elektronika Classic,Elektronika,Domora,607.44,449.0,2026-04-19,True
38,Jakby Elektronika Eco,Elektronika,Nortex,66.03,41.57,2025-09-30,True
39,Coś Elektronika Pro,Elektronika,Tessera,1071.66,666.91,2025-04-15,True
40,Odwaga Uroda Eco,Uroda,Klarra,179.07,76.96,2025-03-03,True
41,Pomóc Dom Classic,Dom i wnętrza,Domora,478.42,207.63,2026-07-12,True
42,Sześć Dom Eco,Dom i wnętrza,UrbanLine,866.18,518.22,2025-02-22,True
